작품명,픽미툰,투믹스,레진,무툰,미툰,애니툰,큐툰,"네이버
시리즈",케이툰,블라이스,리디북스,"미스터
블루",봄툰,원스토리,코미코,북큐브,만화365,"구루
컴퍼니",왓챠,북팔,올툰,교보E북,"인터넷
만화방"
엘리베이터에 갇힌 두남녀,,,,,,,,,,,,,,,,,,,,,,,보류
셍스팬션,,,"투고 결과 
대기(누온)",,,,,,,,,5/8,,,,,,,,,,,보류
알몸게임,,,"투고 결과 
대기(누온)",,,,,,,,,5/27,,,,,,,,,,,보류
유부녀의 마사지 중독,,,,,,,,,,,,,,,,,,,,,,,
여교수와 누드크로키,,,,,,,,,,,,5/8,,,,,,,,,,,
옆방남자와 NTR,,,,,,,,,,,,5/29,,,,,,,,,,,보류
방탈출 게임,,,"투고 결과 
대기(누온)",,,,,,,,,5/8,,,,,,,,,,,
거유 왁싱샵 실장님들,,,"투고 결과 
대기(누온)",,,,,,,,,5/8,,,,,,,,,,,
씻고 나왔더니 모르는 여자가 누워있다,,,"투고 결과 
대기(누온)",,,,,,,,,5/31,,,,,,,,,,,
부동산 그녀들,,,,,,,,,,,,,,,,,,,,,,,
기억해줘,,,,,,,,,,,,,,,,,,,,,,,
달콤한 휴가,,,,,,,,,,,,,,,,,,,,,,,
고교전설 Boost,,,,,,,,,,,,,,,,,,,,,,,
왕가슴 회장님의 경영일지,,,"투고 결과 
대기(누온)",,,,,,,,,5/7,,,,,,,,,,,
옆집 유부녀,,,"투고 결과 
대기(누온)",,,,,,,,,5/27,,,,,,,,,,,
초면인 여자와 한달간 원룸 생활,,,,,,,,,,,,5/29,,,,,,,,,,,보류
에로 웹툰 단편집,,,"투고 결과 
대기(누온)",,,,,,,,,5/27,,,,,,,,,,,
절대미시 친구 엄마,,,,,,,,,,,,,,,,,,,,,,,보류
미시 사장님과 창고에 갇히다,,,,,,,,,,,,,,,,,,,,,,,
베이글 연상녀 공략,,,"투고 결과 
대기(누온)",,,,,,,,,5/31,,,,,,,,,,,보류
친구누나의 계략,,,"투고 결과 
대기(누온)",,,,,,,,,5/31,,,,5/4,,,,,,,
그녀들에게 배달,,,,,,,,,,,,"투고 결과
대기",,,,,,,,,,,
고추 5cm,,"투고 결과
대기",,,,,,,"투고 결과
대기","투고 결과
대기",,,,,,,,,,,,,
미친년,,,,,,,,,"투고 결과
대기","투고 결과
대기",,,,,,,,,,,,,보류
소원쪽지,,,,,,,,,"투고 결과
대기","투고 결과
대기",,,,,,,,,,,,,보류
아버지의 불륜녀와 한방에 갇히다,,,,,,,,,"투고 결과
대기",,,,,,,,,,,,,,보류
팬데믹,,,,,,,,,"투고 결과
대기","투고 결과
대기",,,,,,,,,,,,,보류
순결게임,,,,,,,,,"투고 결과
대기",,,,,,,,,,,,,,
누드비치,,"투고 결과
대기",,,,,,,"투고 결과
대기","투고 결과
대기",,,,,,,,,,,,,보류
인턴과 유부녀 상사의 어느 여름날,,,"투고 결과 
대기(누온)",,,,,,,,,5/29,,,,5/4,,,,,,,
사촌누나,,,"투고 결과 
대기(누온)",,,,,,,,,5/27,,,,5/2,,,,,,,
미션,,5/8,,,"투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)","투고 결과 
대기(누온)"
하숙집 존슨과 미시 사장님,,,"투고 결과 
대기(누온)",,,,,,,,,5/7,,,,,,,,,,,
엄마친구들,,,"투고 결과 
대기(누온)",,,,,,,,,5/7,,,,,,,,,,,
유부녀 상담사의 늦은밤의 상담 시간,,,,,,,,,"투고 결과
대기","투고 결과
대기",,,,,,,,,,,
남편 없을 때 전 남친을 집에 들여 버린 유부녀,,,,8/11,8/15,되어있음,8/11,8/15,8/15,되어있음,8/8,8/15,,,,,,,,,,,
체인지,,,,8/11,8/15,되어있음,8/11,8/15,8/15,되어있음,8/10,8/17,,,,8/10,,,,,,,
유부녀 사냥꾼,,,"투고 결과 
대기(누온)",,,,,,,,,,,,,,,,,,,,
이혼미시의 섹스 중독,,,,,,,,,,,,,,,,,,,,,,,

